Genotype	Treatment	Time_in_Weeks	target	Percentile	Cell_Number	Relative_percentile	Perc.Lower	Perc.Upper	Sd	Pvalue
EGFR;p53;Cas9	osimertinib	11	Smad4	0.5	1165.8	0.9768	0.9448	1.0352	0.0213	0.5077
EGFR;p53;Cas9	osimertinib	11	Smad4	0.6	1453.6	0.9860	0.9394	1.0435	0.0267	0.6726
EGFR;p53;Cas9	osimertinib	11	Smad4	0.7	1860.3	1.0012	0.9671	1.0340	0.0171	0.9109
EGFR;p53;Cas9	osimertinib	11	Smad4	0.8	2550.3	1.0335	0.9793	1.0754	0.0257	0.2486
EGFR;p53;Cas9	osimertinib	11	Smad4	0.9	3972.3	1.0374	0.9598	1.0920	0.0329	0.2564
EGFR;p53;Cas9	osimertinib	11	Smad4	0.95	6058	1.0381	0.9637	1.1266	0.0424	0.2295
EGFR;p53;Cas9	osimertinib	11	Apc	0.5	1565.9	1.3121	1.1870	1.4049	0.0566	0.0000
EGFR;p53;Cas9	osimertinib	11	Apc	0.6	1991.9	1.3511	1.2833	1.4521	0.0423	0.0000
EGFR;p53;Cas9	osimertinib	11	Apc	0.7	2639.7	1.4207	1.3336	1.5544	0.0538	0.0000
EGFR;p53;Cas9	osimertinib	11	Apc	0.8	3832.4	1.5531	1.3951	1.6331	0.0604	0.0000
EGFR;p53;Cas9	osimertinib	11	Apc	0.9	6212.9	1.6226	1.4545	1.7717	0.0813	0.0000
EGFR;p53;Cas9	osimertinib	11	Apc	0.95	10469.1	1.7939	1.4793	1.8942	0.1052	0.0000
EGFR;p53;Cas9	osimertinib	11	Rbm10	0.5	1536.5	1.2874	1.1548	1.3571	0.0512	0.0003
EGFR;p53;Cas9	osimertinib	11	Rbm10	0.6	1973.1	1.3384	1.2453	1.4489	0.0517	0.0000
EGFR;p53;Cas9	osimertinib	11	Rbm10	0.7	2594	1.3961	1.2731	1.4772	0.0506	0.0000
EGFR;p53;Cas9	osimertinib	11	Rbm10	0.8	3583	1.4520	1.2858	1.6100	0.0839	0.0000
EGFR;p53;Cas9	osimertinib	11	Rbm10	0.9	5760.2	1.5044	1.3600	1.6404	0.0730	0.0000
EGFR;p53;Cas9	osimertinib	11	Rbm10	0.95	8650.3	1.4823	1.3399	1.6487	0.0798	0.0000
EGFR;p53;Cas9	osimertinib	11	Rb1	0.5	1667.4	1.3971	1.2418	1.5357	0.0766	0.0000
EGFR;p53;Cas9	osimertinib	11	Rb1	0.6	2311.6	1.5680	1.3414	1.7402	0.1043	0.0000
EGFR;p53;Cas9	osimertinib	11	Rb1	0.7	3290.5	1.7709	1.4165	2.0189	0.1547	0.0000
EGFR;p53;Cas9	osimertinib	11	Rb1	0.8	4876.8	1.9763	1.6318	2.1437	0.1296	0.0000
EGFR;p53;Cas9	osimertinib	11	Rb1	0.9	8754.7	2.2864	1.8637	2.7416	0.2163	0.0000
EGFR;p53;Cas9	osimertinib	11	Rb1	0.95	14361	2.4608	2.0190	2.8962	0.2243	0.0000
EGFR;p53;Cas9	osimertinib	19	Neo1	0.5	992.6	0.9447	0.8692	1.0412	0.0424	0.2145
EGFR;p53;Cas9	osimertinib	19	Neo1	0.6	1267.7	0.9014	0.7932	1.0368	0.0612	0.1351
EGFR;p53;Cas9	osimertinib	19	Neo1	0.7	2113.5	0.9645	0.7433	1.1219	0.1020	0.7000
EGFR;p53;Cas9	osimertinib	19	Neo1	0.8	3641.1	0.9521	0.7319	1.2111	0.1218	0.8631
EGFR;p53;Cas9	osimertinib	19	Neo1	0.9	8456.3	0.8902	0.5863	1.1105	0.1191	0.3055
EGFR;p53;Cas9	osimertinib	19	Neo1	0.95	16897.4	0.9075	0.5461	0.9760	0.1172	0.0190
EGFR;p53;Cas9	osimertinib	19	Neo2	0.5	1199.7	1.1418	0.9308	1.3085	0.1002	0.1714
EGFR;p53;Cas9	osimertinib	19	Neo2	0.6	1605.4	1.1415	0.9146	1.2879	0.0911	0.2280
EGFR;p53;Cas9	osimertinib	19	Neo2	0.7	2125.8	0.9701	0.8033	1.2036	0.0975	0.8107
EGFR;p53;Cas9	osimertinib	19	Neo2	0.8	3128.2	0.8179	0.6166	1.1016	0.1256	0.2046
EGFR;p53;Cas9	osimertinib	19	Neo2	0.9	6137.2	0.6461	0.4855	1.0308	0.1599	0.0923
EGFR;p53;Cas9	osimertinib	19	Neo2	0.95	22927.4	1.2313	0.3829	2.4811	0.6319	0.8742
EGFR;p53;Cas9	osimertinib	19	Neo3	0.5	1034	0.9841	0.9229	1.0709	0.0371	0.4575
EGFR;p53;Cas9	osimertinib	19	Neo3	0.6	1404.7	0.9988	0.9093	1.1939	0.0715	0.9077
EGFR;p53;Cas9	osimertinib	19	Neo3	0.7	2303.5	1.0512	0.9244	1.2324	0.0762	0.4061
EGFR;p53;Cas9	osimertinib	19	Neo3	0.8	4399.4	1.1503	0.9356	1.4403	0.1317	0.3202
EGFR;p53;Cas9	osimertinib	19	Neo3	0.9	12182.5	1.2825	1.0887	1.5324	0.1243	0.0148
EGFR;p53;Cas9	osimertinib	19	Neo3	0.95	25893.8	1.3906	1.0525	1.8237	0.1947	0.0110
EGFR;p53;Cas9	osimertinib	19	NT1	0.5	1102.8	1.0496	0.9507	1.1685	0.0547	0.3291
EGFR;p53;Cas9	osimertinib	19	NT1	0.6	1420.5	1.0101	0.9047	1.1569	0.0642	0.6377
EGFR;p53;Cas9	osimertinib	19	NT1	0.7	2159.1	0.9853	0.8823	1.1531	0.0663	0.7802
EGFR;p53;Cas9	osimertinib	19	NT1	0.8	3801.4	0.9940	0.8270	1.3072	0.1229	0.9616
EGFR;p53;Cas9	osimertinib	19	NT1	0.9	8704.7	0.9164	0.7346	1.3252	0.1525	0.5739
EGFR;p53;Cas9	osimertinib	19	NT1	0.95	14123.2	0.7585	0.5907	1.1324	0.1436	0.2014
EGFR;p53;Cas9	osimertinib	19	Setd2	0.5	1092.2	1.0395	0.8954	1.1957	0.0767	0.6211
EGFR;p53;Cas9	osimertinib	19	Setd2	0.6	1472.4	1.0470	0.8421	1.3040	0.1219	0.6074
EGFR;p53;Cas9	osimertinib	19	Setd2	0.7	2616.8	1.1942	0.7607	1.7841	0.2719	0.4391
EGFR;p53;Cas9	osimertinib	19	Setd2	0.8	5674.5	1.4837	0.6743	2.2507	0.3648	0.1808
EGFR;p53;Cas9	osimertinib	19	Setd2	0.9	14925.7	1.5713	0.9063	1.7422	0.2309	0.1822
EGFR;p53;Cas9	osimertinib	19	Setd2	0.95	26324.8	1.4138	0.8828	1.5634	0.1851	0.1732
EGFR;p53;Cas9	osimertinib	19	Lkb1	0.5	1071.6	1.0199	0.8770	1.3174	0.0993	0.5590
EGFR;p53;Cas9	osimertinib	19	Lkb1	0.6	1406.3	1.0000	0.8501	1.2956	0.1126	0.9555
EGFR;p53;Cas9	osimertinib	19	Lkb1	0.7	1922	0.8771	0.7335	1.2080	0.1270	0.4655
EGFR;p53;Cas9	osimertinib	19	Lkb1	0.8	2918.6	0.7631	0.5514	1.1234	0.1790	0.1763
EGFR;p53;Cas9	osimertinib	19	Lkb1	0.9	5957.8	0.6272	0.4707	1.7846	0.3984	0.2524
EGFR;p53;Cas9	osimertinib	19	Lkb1	0.95	17638.8	0.9473	0.4658	3.2191	3.0704	0.6474
EGFR;p53;Cas9	osimertinib	19	p53	0.5	977.8	0.9306	0.8484	1.0631	0.0558	0.3617
EGFR;p53;Cas9	osimertinib	19	p53	0.6	1223.1	0.8697	0.7255	1.0762	0.0862	0.1611
EGFR;p53;Cas9	osimertinib	19	p53	0.7	1820.1	0.8306	0.6697	1.0677	0.1060	0.1725
EGFR;p53;Cas9	osimertinib	19	p53	0.8	3398	0.8885	0.5943	1.3253	0.1864	0.4848
EGFR;p53;Cas9	osimertinib	19	p53	0.9	8716.5	0.9176	0.6681	1.5407	0.2437	0.8256
EGFR;p53;Cas9	osimertinib	19	p53	0.95	18933	1.0168	0.6411	2.2964	0.4265	0.9120
EGFR;p53;Cas9	osimertinib	19	Cdkn2a	0.5	1272.9	1.2115	1.0572	1.3509	0.0703	0.0082
EGFR;p53;Cas9	osimertinib	19	Cdkn2a	0.6	1661.7	1.1816	0.9652	1.3778	0.1073	0.1107
EGFR;p53;Cas9	osimertinib	19	Cdkn2a	0.7	2564.3	1.1702	0.9357	1.4913	0.1388	0.1498
EGFR;p53;Cas9	osimertinib	19	Cdkn2a	0.8	4582.4	1.1982	0.9296	1.5653	0.1612	0.2070
EGFR;p53;Cas9	osimertinib	19	Cdkn2a	0.9	13110.9	1.3802	1.1058	1.9491	0.2099	0.0066
EGFR;p53;Cas9	osimertinib	19	Cdkn2a	0.95	30771.7	1.6526	1.0871	2.6432	0.4148	0.0088
EGFR;p53;Cas9	osimertinib	19	Arid1a	0.5	1371.7	1.3055	0.9144	1.9341	0.2514	0.1242
EGFR;p53;Cas9	osimertinib	19	Arid1a	0.6	2109.5	1.5000	0.9389	2.4626	0.3924	0.0922
EGFR;p53;Cas9	osimertinib	19	Arid1a	0.7	3543.5	1.6171	1.0313	2.3029	0.3454	0.0368
EGFR;p53;Cas9	osimertinib	19	Arid1a	0.8	5655.8	1.4788	1.0084	2.4696	0.4089	0.0462
EGFR;p53;Cas9	osimertinib	19	Arid1a	0.9	11896.2	1.2523	0.6860	2.1013	0.3345	0.3464
EGFR;p53;Cas9	osimertinib	19	Arid1a	0.95	18085.2	0.9713	0.6895	1.5912	0.2359	0.7842
EGFR;p53;Cas9	osimertinib	19	Atm	0.5	1106.6	1.0532	0.9048	1.2143	0.0818	0.3968
EGFR;p53;Cas9	osimertinib	19	Atm	0.6	1466.8	1.0430	0.8722	1.1642	0.0780	0.6401
EGFR;p53;Cas9	osimertinib	19	Atm	0.7	2005.6	0.9153	0.8056	1.1079	0.0764	0.3704
EGFR;p53;Cas9	osimertinib	19	Atm	0.8	3678.1	0.9617	0.7085	1.1143	0.1062	0.3680
EGFR;p53;Cas9	osimertinib	19	Atm	0.9	9036.2	0.9513	0.6439	1.2652	0.1698	0.9129
EGFR;p53;Cas9	osimertinib	19	Atm	0.95	20095.6	1.0792	0.6675	1.3035	0.1629	0.8742
EGFR;p53;Cas9	osimertinib	19	Keap1	0.5	2595.1	2.4699	0.9267	6.1588	1.3623	0.1290
EGFR;p53;Cas9	osimertinib	19	Keap1	0.6	3288.7	2.3385	1.2300	6.5005	1.6526	0.0402
EGFR;p53;Cas9	osimertinib	19	Keap1	0.7	7828.8	3.5727	1.3023	6.4574	1.6167	0.0078
EGFR;p53;Cas9	osimertinib	19	Keap1	0.8	10746.2	2.8098	1.1418	5.1690	1.6766	0.0115
EGFR;p53;Cas9	osimertinib	19	Keap1	0.9	17434.8	1.8354	1.1220	8.1845	1.4605	0.0162
EGFR;p53;Cas9	osimertinib	19	Keap1	0.95	27304.4	1.4664	0.7803	4.8985	1.1295	0.4684
EGFR;p53;Cas9	osimertinib	19	Smad4	0.5	991.1	0.9433	0.8571	1.0431	0.0469	0.1985
EGFR;p53;Cas9	osimertinib	19	Smad4	0.6	1261.8	0.8972	0.7769	1.0229	0.0610	0.0965
EGFR;p53;Cas9	osimertinib	19	Smad4	0.7	1816.9	0.8291	0.7028	1.0343	0.0851	0.1076
EGFR;p53;Cas9	osimertinib	19	Smad4	0.8	2837.6	0.7420	0.5773	1.0349	0.1161	0.0738
EGFR;p53;Cas9	osimertinib	19	Smad4	0.9	6059	0.6378	0.5292	1.1446	0.1639	0.1560
EGFR;p53;Cas9	osimertinib	19	Smad4	0.95	21135.9	1.1351	0.5315	1.7542	0.3065	0.8062
EGFR;p53;Cas9	osimertinib	19	Apc	0.5	1387.5	1.3205	1.0402	1.6981	0.1981	0.0183
EGFR;p53;Cas9	osimertinib	19	Apc	0.6	1886.4	1.3413	1.0541	2.0723	0.2447	0.0207
EGFR;p53;Cas9	osimertinib	19	Apc	0.7	3120.2	1.4239	1.0001	2.7073	0.4510	0.0481
EGFR;p53;Cas9	osimertinib	19	Apc	0.8	7955.6	2.0802	0.9277	2.7840	0.4851	0.0782
EGFR;p53;Cas9	osimertinib	19	Apc	0.9	19503.9	2.0532	1.2340	4.1025	0.6043	0.0070
EGFR;p53;Cas9	osimertinib	19	Apc	0.95	49363.7	2.6511	1.3884	5.1358	1.0166	0.0080
EGFR;p53;Cas9	osimertinib	19	Rbm10	0.5	1246.4	1.1863	0.8108	1.9075	0.3052	0.3551
EGFR;p53;Cas9	osimertinib	19	Rbm10	0.6	1858.5	1.3215	0.8383	2.6326	0.6838	0.2015
EGFR;p53;Cas9	osimertinib	19	Rbm10	0.7	3506.4	1.6002	0.9447	7.3856	1.6666	0.0782
EGFR;p53;Cas9	osimertinib	19	Rbm10	0.8	14584	3.8133	1.4207	7.1417	1.5368	0.0042
EGFR;p53;Cas9	osimertinib	19	Rbm10	0.9	29254.3	3.0797	1.9098	7.5947	1.5214	0.0000
EGFR;p53;Cas9	osimertinib	19	Rbm10	0.95	61412.3	3.2982	2.0406	8.3530	1.7177	0.0000
EGFR;p53;Cas9	osimertinib	19	Rb1	0.5	1083.4	1.0312	0.9474	1.1289	0.0472	0.4715
EGFR;p53;Cas9	osimertinib	19	Rb1	0.6	1406.2	0.9999	0.8556	1.1380	0.0732	0.8671
EGFR;p53;Cas9	osimertinib	19	Rb1	0.7	1984.8	0.9057	0.7685	1.1435	0.0976	0.4397
EGFR;p53;Cas9	osimertinib	19	Rb1	0.8	3384.4	0.8849	0.6812	1.1402	0.1180	0.3327
EGFR;p53;Cas9	osimertinib	19	Rb1	0.9	8051.8	0.8476	0.6922	1.1005	0.1002	0.2084
EGFR;p53;Cas9	osimertinib	19	Rb1	0.95	19905.3	1.0690	0.7960	1.2683	0.1168	0.8738
EGFR;p53;Cas9	vehicle	19	Neo1	0.5	953.9	0.9783	0.9515	1.0466	0.0200	0.1905
EGFR;p53;Cas9	vehicle	19	Neo1	0.6	1222.1	1.0009	0.9341	1.0977	0.0323	0.9761
EGFR;p53;Cas9	vehicle	19	Neo1	0.7	1608.6	0.9821	0.9073	1.0281	0.0303	0.2140
EGFR;p53;Cas9	vehicle	19	Neo1	0.8	2356.9	0.9303	0.8090	1.0207	0.0565	0.0780
EGFR;p53;Cas9	vehicle	19	Neo1	0.9	4730.5	0.8584	0.6718	0.9754	0.1767	0.0271
EGFR;p53;Cas9	vehicle	19	Neo1	0.95	12562.5	0.9591	0.5729	1.8106	0.9303	0.9045
EGFR;p53;Cas9	vehicle	19	Neo2	0.5	962	0.9865	0.8721	1.0681	0.0523	0.9758
EGFR;p53;Cas9	vehicle	19	Neo2	0.6	1226.6	1.0046	0.9111	1.0602	0.0373	0.8811
EGFR;p53;Cas9	vehicle	19	Neo2	0.7	1513.6	0.9241	0.8379	1.0522	0.0535	0.2232
EGFR;p53;Cas9	vehicle	19	Neo2	0.8	2293.3	0.9051	0.7439	1.1143	0.0804	0.2379
EGFR;p53;Cas9	vehicle	19	Neo2	0.9	5456.2	0.9901	0.7144	1.2782	0.1373	0.9948
EGFR;p53;Cas9	vehicle	19	Neo2	0.95	15410.1	1.1765	0.6313	1.4675	0.2869	0.5973
EGFR;p53;Cas9	vehicle	19	Neo3	0.5	1013.3	1.0392	0.9623	1.1375	0.0441	0.3143
EGFR;p53;Cas9	vehicle	19	Neo3	0.6	1244.7	1.0194	0.9186	1.2034	0.0725	0.6683
EGFR;p53;Cas9	vehicle	19	Neo3	0.7	1762.3	1.0760	0.9009	1.2931	0.1024	0.4866
EGFR;p53;Cas9	vehicle	19	Neo3	0.8	2921.6	1.1531	0.8482	1.3708	0.1343	0.3804
EGFR;p53;Cas9	vehicle	19	Neo3	0.9	7248.4	1.3153	0.8980	1.6880	0.2055	0.1334
EGFR;p53;Cas9	vehicle	19	Neo3	0.95	16388.7	1.2512	0.6372	2.2754	0.3913	0.3420
EGFR;p53;Cas9	vehicle	19	NT1	0.5	960	0.9845	0.9388	1.0476	0.0275	0.7640
EGFR;p53;Cas9	vehicle	19	NT1	0.6	1198.3	0.9814	0.9091	1.0563	0.0376	0.6037
EGFR;p53;Cas9	vehicle	19	NT1	0.7	1621	0.9897	0.8578	1.1356	0.0766	0.9869
EGFR;p53;Cas9	vehicle	19	NT1	0.8	2551.5	1.0071	0.8189	1.2489	0.1043	0.7942
EGFR;p53;Cas9	vehicle	19	NT1	0.9	4956.8	0.8995	0.8028	1.1018	0.0804	0.5120
EGFR;p53;Cas9	vehicle	19	NT1	0.95	10329.5	0.7886	0.5935	0.9388	0.1206	0.0164
EGFR;p53;Cas9	vehicle	19	Setd2	0.5	923.8	0.9474	0.8208	1.0784	0.0698	0.5949
EGFR;p53;Cas9	vehicle	19	Setd2	0.6	1165.4	0.9545	0.7576	1.1047	0.0900	0.5535
EGFR;p53;Cas9	vehicle	19	Setd2	0.7	1542.4	0.9417	0.6869	1.3912	0.1705	0.7793
EGFR;p53;Cas9	vehicle	19	Setd2	0.8	2564.9	1.0124	0.5647	1.3663	0.2258	0.9677
EGFR;p53;Cas9	vehicle	19	Setd2	0.9	10097.4	1.8323	0.5477	2.4665	0.4820	0.1884
EGFR;p53;Cas9	vehicle	19	Setd2	0.95	27402.6	2.0921	0.8535	2.7435	0.4139	0.0630
EGFR;p53;Cas9	vehicle	19	Lkb1	0.5	853.3	0.8751	0.7159	1.0224	0.0736	0.0635
EGFR;p53;Cas9	vehicle	19	Lkb1	0.6	1005.7	0.8237	0.6376	1.0565	0.1076	0.1012
EGFR;p53;Cas9	vehicle	19	Lkb1	0.7	1256	0.7669	0.5347	1.0862	0.1544	0.2408
EGFR;p53;Cas9	vehicle	19	Lkb1	0.8	1825.5	0.7205	0.4342	1.3474	0.2191	0.2529
EGFR;p53;Cas9	vehicle	19	Lkb1	0.9	5833.8	1.0586	0.3672	1.9209	0.4157	0.9040
EGFR;p53;Cas9	vehicle	19	Lkb1	0.95	15641.6	1.1942	0.4285	7.0098	1.6779	0.7242
EGFR;p53;Cas9	vehicle	19	p53	0.5	962	0.9865	0.9055	1.0596	0.0387	0.7833
EGFR;p53;Cas9	vehicle	19	p53	0.6	1202.9	0.9852	0.8976	1.0810	0.0507	0.6852
EGFR;p53;Cas9	vehicle	19	p53	0.7	1665.9	1.0171	0.8770	1.1350	0.0643	0.7640
EGFR;p53;Cas9	vehicle	19	p53	0.8	2644.2	1.0437	0.9166	1.1951	0.0714	0.4794
EGFR;p53;Cas9	vehicle	19	p53	0.9	6940.1	1.2594	1.0155	1.7385	0.1958	0.0266
EGFR;p53;Cas9	vehicle	19	p53	0.95	16113.6	1.2302	0.9519	1.8344	0.2571	0.1012
EGFR;p53;Cas9	vehicle	19	Cdkn2a	0.5	1318.6	1.3523	1.1200	1.5962	0.1277	0.0050
EGFR;p53;Cas9	vehicle	19	Cdkn2a	0.6	1869.1	1.5309	1.1591	1.7681	0.1506	0.0084
EGFR;p53;Cas9	vehicle	19	Cdkn2a	0.7	3044.3	1.8587	1.3112	2.2418	0.2382	0.0036
EGFR;p53;Cas9	vehicle	19	Cdkn2a	0.8	5471.8	2.1597	1.4254	2.9238	0.4101	0.0014
EGFR;p53;Cas9	vehicle	19	Cdkn2a	0.9	15429.4	2.7999	1.5517	4.6126	0.6683	0.0056
EGFR;p53;Cas9	vehicle	19	Cdkn2a	0.95	34597.4	2.6414	1.3591	4.9904	0.9420	0.0092
EGFR;p53;Cas9	vehicle	19	Arid1a	0.5	1066.6	1.0939	0.9526	1.1678	0.0563	0.2153
EGFR;p53;Cas9	vehicle	19	Arid1a	0.6	1325.3	1.0855	0.9778	1.4000	0.1076	0.2048
EGFR;p53;Cas9	vehicle	19	Arid1a	0.7	2023.5	1.2354	0.9576	1.6804	0.1819	0.0761
EGFR;p53;Cas9	vehicle	19	Arid1a	0.8	4293.2	1.6945	1.0745	2.6570	0.4394	0.0324
EGFR;p53;Cas9	vehicle	19	Arid1a	0.9	23764.5	4.3124	1.5560	12.9233	2.7427	0.0086
EGFR;p53;Cas9	vehicle	19	Arid1a	0.95	170411.3	13.0104	3.8806	38.7413	7.7884	0.0036
EGFR;p53;Cas9	vehicle	19	Atm	0.5	930.9	0.9547	0.8481	1.0833	0.0617	0.3730
EGFR;p53;Cas9	vehicle	19	Atm	0.6	1173.3	0.9609	0.8105	1.0611	0.0687	0.4914
EGFR;p53;Cas9	vehicle	19	Atm	0.7	1691.4	1.0327	0.7618	1.2857	0.1401	0.9199
EGFR;p53;Cas9	vehicle	19	Atm	0.8	2388.2	0.9426	0.7242	1.1956	0.1311	0.7978
EGFR;p53;Cas9	vehicle	19	Atm	0.9	8679.2	1.5750	0.8325	2.2893	0.3792	0.1409
EGFR;p53;Cas9	vehicle	19	Atm	0.95	37282.9	2.8464	0.9738	5.7855	1.3764	0.0576
EGFR;p53;Cas9	vehicle	19	Keap1	0.5	1043.5	1.0702	0.7686	1.6002	0.2162	0.7753
EGFR;p53;Cas9	vehicle	19	Keap1	0.6	1418.6	1.1619	0.6992	1.5760	0.2335	0.6309
EGFR;p53;Cas9	vehicle	19	Keap1	0.7	1741.8	1.0635	0.5922	1.7629	0.2754	0.7795
EGFR;p53;Cas9	vehicle	19	Keap1	0.8	2864	1.1304	0.5322	2.2693	0.4947	0.7296
EGFR;p53;Cas9	vehicle	19	Keap1	0.9	8008.7	1.4533	0.4607	3.0582	0.7213	0.4232
EGFR;p53;Cas9	vehicle	19	Keap1	0.95	17563.3	1.3409	0.2981	12.3333	4.5036	0.6778
EGFR;p53;Cas9	vehicle	19	Smad4	0.5	933.3	0.9571	0.8667	1.0000	0.0352	0.0765
EGFR;p53;Cas9	vehicle	19	Smad4	0.6	1132.3	0.9273	0.8247	1.0161	0.0470	0.1010
EGFR;p53;Cas9	vehicle	19	Smad4	0.7	1375	0.8395	0.6950	0.9684	0.0711	0.0210
EGFR;p53;Cas9	vehicle	19	Smad4	0.8	2020.1	0.7973	0.6779	0.9079	0.0577	0.0002
EGFR;p53;Cas9	vehicle	19	Smad4	0.9	5184.7	0.9408	0.6210	1.4150	0.2057	0.7457
EGFR;p53;Cas9	vehicle	19	Smad4	0.95	19971.7	1.5248	0.7820	2.7345	0.5373	0.3220
EGFR;p53;Cas9	vehicle	19	Apc	0.5	1026	1.0522	0.9349	1.2703	0.0842	0.3617
EGFR;p53;Cas9	vehicle	19	Apc	0.6	1321.3	1.0822	0.8882	1.4852	0.1576	0.5005
EGFR;p53;Cas9	vehicle	19	Apc	0.7	1918.8	1.1715	0.8295	1.9194	0.2866	0.3793
EGFR;p53;Cas9	vehicle	19	Apc	0.8	3826.4	1.5103	0.7790	3.5429	0.7576	0.2930
EGFR;p53;Cas9	vehicle	19	Apc	0.9	15859.2	2.8779	0.8120	9.8521	2.5596	0.1266
EGFR;p53;Cas9	vehicle	19	Apc	0.95	90323.5	6.8959	1.2117	64.1238	54.0955	0.0270
EGFR;p53;Cas9	vehicle	19	Rbm10	0.5	1041.7	1.0683	0.8518	1.3542	0.1215	0.5313
EGFR;p53;Cas9	vehicle	19	Rbm10	0.6	1379.7	1.1300	0.8937	1.4858	0.1420	0.3076
EGFR;p53;Cas9	vehicle	19	Rbm10	0.7	1949.3	1.1901	0.8288	1.5818	0.2143	0.5148
EGFR;p53;Cas9	vehicle	19	Rbm10	0.8	4362.5	1.7219	1.0018	3.0463	0.6502	0.0491
EGFR;p53;Cas9	vehicle	19	Rbm10	0.9	33119.9	6.0101	4.6288	9.4883	1.8177	0.0000
EGFR;p53;Cas9	vehicle	19	Rbm10	0.95	123639.7	9.4395	2.6764	89.7265	25.1525	0.0032
EGFR;p53;Cas9	vehicle	19	Rb1	0.5	1114.3	1.1427	1.0089	1.2069	0.0546	0.0347
EGFR;p53;Cas9	vehicle	19	Rb1	0.6	1454.9	1.1916	1.0361	1.2765	0.0633	0.0161
EGFR;p53;Cas9	vehicle	19	Rb1	0.7	2133.3	1.3025	1.0988	1.4772	0.0966	0.0083
EGFR;p53;Cas9	vehicle	19	Rb1	0.8	3814.5	1.5056	1.2025	1.6629	0.1210	0.0034
EGFR;p53;Cas9	vehicle	19	Rb1	0.9	10158.8	1.8435	1.1238	3.2500	0.5004	0.0182
EGFR;p53;Cas9	vehicle	19	Rb1	0.95	30304.8	2.3137	1.2588	3.9879	0.7515	0.0142
Kras;p53;Cas9	None	14	Neo1	0.5	1297.2	1.0179	0.9444	1.1351	0.0485	0.4645
Kras;p53;Cas9	None	14	Neo1	0.6	1712.4	1.0184	0.9375	1.1543	0.0552	0.5143
Kras;p53;Cas9	None	14	Neo1	0.7	2466.1	1.0476	0.9319	1.1698	0.0598	0.3908
Kras;p53;Cas9	None	14	Neo1	0.8	3717	1.0233	0.8947	1.1430	0.0639	0.9470
Kras;p53;Cas9	None	14	Neo1	0.9	7887.2	0.9771	0.7714	1.2372	0.1160	0.8707
Kras;p53;Cas9	None	14	Neo1	0.95	16106.7	0.9642	0.7394	1.2232	0.1227	0.7273
Kras;p53;Cas9	None	14	Neo2	0.5	1274.5	1.0000	0.9412	1.0462	0.0266	0.7431
Kras;p53;Cas9	None	14	Neo2	0.6	1660.5	0.9875	0.9368	1.0462	0.0279	0.6516
Kras;p53;Cas9	None	14	Neo2	0.7	2354	1.0000	0.9219	1.0556	0.0342	0.7215
Kras;p53;Cas9	None	14	Neo2	0.8	3643.1	1.0030	0.8736	1.0870	0.0533	0.8139
Kras;p53;Cas9	None	14	Neo2	0.9	8463.2	1.0485	0.8646	1.1985	0.0816	0.6141
Kras;p53;Cas9	None	14	Neo2	0.95	16782.8	1.0047	0.8017	1.2255	0.1068	0.9171
Kras;p53;Cas9	None	14	Neo3	0.5	1273.6	0.9993	0.9577	1.0370	0.0201	0.8596
Kras;p53;Cas9	None	14	Neo3	0.6	1670.4	0.9934	0.9608	1.0379	0.0198	0.9444
Kras;p53;Cas9	None	14	Neo3	0.7	2354	1.0000	0.9589	1.0492	0.0231	0.9585
Kras;p53;Cas9	None	14	Neo3	0.8	3643.1	1.0030	0.9512	1.0985	0.0381	0.6584
Kras;p53;Cas9	None	14	Neo3	0.9	7902	0.9789	0.9051	1.1579	0.0624	0.8281
Kras;p53;Cas9	None	14	Neo3	0.95	16849.6	1.0087	0.8968	1.1841	0.0737	0.9384
Kras;p53;Cas9	None	14	NT1	0.5	1284.7	1.0080	0.9258	1.1099	0.0469	0.9534
Kras;p53;Cas9	None	14	NT1	0.6	1685	1.0021	0.9189	1.1131	0.0495	0.9588
Kras;p53;Cas9	None	14	NT1	0.7	2331.8	0.9906	0.8990	1.1053	0.0520	0.8471
Kras;p53;Cas9	None	14	NT1	0.8	3503.9	0.9646	0.8301	1.1111	0.0715	0.5383
Kras;p53;Cas9	None	14	NT1	0.9	7964.4	0.9867	0.7238	1.2167	0.1256	0.7834
Kras;p53;Cas9	None	14	NT1	0.95	16368.8	0.9799	0.6515	1.2687	0.1569	0.7890
Kras;p53;Cas9	None	14	Atm	0.5	1323.2	1.0382	0.9642	1.1108	0.0380	0.3669
Kras;p53;Cas9	None	14	Atm	0.6	1737.5	1.0333	0.9509	1.1257	0.0442	0.4504
Kras;p53;Cas9	None	14	Atm	0.7	2412.9	1.0250	0.9440	1.1289	0.0472	0.6028
Kras;p53;Cas9	None	14	Atm	0.8	3756.8	1.0343	0.9390	1.1827	0.0623	0.4321
Kras;p53;Cas9	None	14	Atm	0.9	8133.9	1.0077	0.8838	1.2553	0.0945	0.6383
Kras;p53;Cas9	None	14	Atm	0.95	17455.2	1.0449	0.8003	1.2852	0.1223	0.8326
Kras;p53;Cas9	None	14	Arid1a	0.5	1338.6	1.0503	0.9750	1.1028	0.0316	0.1824
Kras;p53;Cas9	None	14	Arid1a	0.6	1784.3	1.0612	0.9773	1.1253	0.0383	0.1725
Kras;p53;Cas9	None	14	Arid1a	0.7	2522.1	1.0714	0.9897	1.1739	0.0474	0.0926
